query,labels,example_type,augmented
may you provide the extra thanks for slack?,COMPANY_PROFILE_QUERY,single,True
that he provide my company profile for slack?,COMPANY_PROFILE_QUERY,single,True
also the company description of website.,COMPANY_PROFILE_QUERY,single,True
display on camera profile and zoom.,COMPANY_PROFILE_QUERY,single,True
display their total profile of interest.,COMPANY_PROFILE_QUERY,single,True
give you the basic information for atlassian.,COMPANY_PROFILE_QUERY,single,True
give me the detailed news later tonight.,COMPANY_PROFILE_QUERY,single,True
give up the detailed information around atlassian.,COMPANY_PROFILE_QUERY,single,True
fetch further company client details for preview.,COMPANY_PROFILE_QUERY,single,True
fetch your company with details for more.,COMPANY_PROFILE_QUERY,single,True
fetch the company profile and their discussion.,COMPANY_PROFILE_QUERY,single,True
what strange place has apple entered?,FUNDING_ROUND_QUERY,single,True
how funding year has currently completed?,FUNDING_ROUND_QUERY,single,True
the few rounds were apple completed?,FUNDING_ROUND_QUERY,single,True
show as a latest funding list for google.,FUNDING_ROUND_QUERY,single,True
show me the major computer trends for google.,FUNDING_ROUND_QUERY,single,True
show me the latest articles relating to google.,FUNDING_ROUND_QUERY,single,True
get smart on microsoft ' s contractual commitments.,FUNDING_ROUND_QUERY,single,True
add that on facebook ' s funding rounds.,FUNDING_ROUND_QUERY,single,True
price cracking on microsoft ' s finance rounds.,FUNDING_ROUND_QUERY,single,True
on bloomberg ' s funding round list.,FUNDING_ROUND_QUERY,single,True
list from ' l second round history.,FUNDING_ROUND_QUERY,single,True
see amazon ' s primary source history.,FUNDING_ROUND_QUERY,single,True
tell me about tesla ' d poetry therapy round.,FUNDING_ROUND_QUERY,single,True
tell me on peter ' s successful funding round.,FUNDING_ROUND_QUERY,single,True
tell me about tesla ' d latest information deal.,FUNDING_ROUND_QUERY,single,True
give me information about america ' s recent funding progress.,FUNDING_ROUND_QUERY,single,True
give not anything of ryan ' s recent funding sources.,FUNDING_ROUND_QUERY,single,True
give further details detailing google ' s recent funding activities.,FUNDING_ROUND_QUERY,single,True
i want more about netflix ' early funding rounds.,FUNDING_ROUND_QUERY,single,True
we want information like netflix ' s netflix rounds.,FUNDING_ROUND_QUERY,single,True
i want information on all ' bout upcoming rounds.,FUNDING_ROUND_QUERY,single,True
show tips funding tips for charities.,FUNDING_ROUND_QUERY,single,True
add the outstanding amount for uber.,FUNDING_ROUND_QUERY,single,True
show the options available for grants.,FUNDING_ROUND_QUERY,single,True
with advice on rosie ' s sunday rounds.,FUNDING_ROUND_QUERY,single,True
approved us and europe ' s funding rounds.,FUNDING_ROUND_QUERY,single,True
fetch details for airbnb ' n programming structure.,FUNDING_ROUND_QUERY,single,True
establish adequate funding history for businesses.,FUNDING_ROUND_QUERY,single,True
take the family history and linkedin.,FUNDING_ROUND_QUERY,single,True
provide the university history field research.,FUNDING_ROUND_QUERY,single,True
what when the answer rounds to adobe?,FUNDING_ROUND_QUERY,single,True
when are the smaller rounds in adobe?,FUNDING_ROUND_QUERY,single,True
when are the funding sources of adobe?,FUNDING_ROUND_QUERY,single,True
now news concerning intel ' s funding rounds.,FUNDING_ROUND_QUERY,single,True
several documents on intel ' s initial rounds.,FUNDING_ROUND_QUERY,single,True
retrieve information as intel ' em upcoming rounds.,FUNDING_ROUND_QUERY,single,True
show me the second round plan for tonight.,FUNDING_ROUND_QUERY,single,True
show me the funding for details thank you.,FUNDING_ROUND_QUERY,single,True
show us the funding round out for tomorrow.,FUNDING_ROUND_QUERY,single,True
get focused on city ' s funding issues.,FUNDING_ROUND_QUERY,single,True
fully ready before oracle ' s funding rounds.,FUNDING_ROUND_QUERY,single,True
get back on oracle ' new funding model.,FUNDING_ROUND_QUERY,single,True
list several funding partners with cisco.,FUNDING_ROUND_QUERY,single,True
list 40 top priorities for cisco.,FUNDING_ROUND_QUERY,single,True
list a key rounds in cisco.,FUNDING_ROUND_QUERY,single,True
more results regarding salesforce ' s funding rounds.,FUNDING_ROUND_QUERY,single,True
specific information on bank ' s revenue rounds.,FUNDING_ROUND_QUERY,single,True
tables help see salesforce ' s funding rounds.,FUNDING_ROUND_QUERY,single,True
tell chuck some ted ' s funding history.,FUNDING_ROUND_QUERY,single,True
alert me who sap ' s funding worries.,FUNDING_ROUND_QUERY,single,True
give kate some sap ' s funding history.,FUNDING_ROUND_QUERY,single,True
what funding rounds can richard argue against?,FUNDING_ROUND_QUERY,single,True
what funding requests should qualcomm participate in?,FUNDING_ROUND_QUERY,single,True
or complex difficulties did qualcomm lead through?,FUNDING_ROUND_QUERY,single,True
show horse funding rounds plan 2013.,FUNDING_ROUND_QUERY,single,True
running various funding rounds for universities.,FUNDING_ROUND_QUERY,single,True
in the funding support for rs.,FUNDING_ROUND_QUERY,single,True
find some clues on dell ' s funding rounds.,FUNDING_ROUND_QUERY,single,True
show me details on dell ' unsuccessful drug rounds.,FUNDING_ROUND_QUERY,single,True
give comprehensive feedback on dell ' future funding rounds.,FUNDING_ROUND_QUERY,single,True
announced the funding round robin for google.,FUNDING_ROUND_QUERY,single,True
fetch the first round data and clients.,FUNDING_ROUND_QUERY,single,True
fetch the funding from data eastern england.,FUNDING_ROUND_QUERY,single,True
i want to see google ' s usage base.,FUNDING_ROUND_QUERY,single,True
just want ta see twitter ' s new rounds.,FUNDING_ROUND_QUERY,single,True
so want to see max ' s funding confirmed.,FUNDING_ROUND_QUERY,single,True
display funding related with children.,FUNDING_ROUND_QUERY,single,True
buy long rounds for others.,FUNDING_ROUND_QUERY,single,True
display data currently on snapchat.,FUNDING_ROUND_QUERY,single,True
show me any funding from behind pinterest.,FUNDING_ROUND_QUERY,single,True
show just the gate number of pinterest.,FUNDING_ROUND_QUERY,single,True
show me my intricate structure of pinterest.,FUNDING_ROUND_QUERY,single,True
detailed details on square ' s proposed proposals.,FUNDING_ROUND_QUERY,single,True
get details from square ' s landing schedule.,FUNDING_ROUND_QUERY,single,True
get details on square ' v supply priorities.,FUNDING_ROUND_QUERY,single,True
provide annual funding round table and shopify.,FUNDING_ROUND_QUERY,single,True
provide increased funding round work in shopify.,FUNDING_ROUND_QUERY,single,True
completing the funding round robin of shopify.,FUNDING_ROUND_QUERY,single,True
tell yourself if slack ' s funding situation.,FUNDING_ROUND_QUERY,single,True
tell about those slack ' s funding goals.,FUNDING_ROUND_QUERY,single,True
teach me about slack ' i funding problems.,FUNDING_ROUND_QUERY,single,True
list the funding available per research.,FUNDING_ROUND_QUERY,single,True
read the funding rounds from each.,FUNDING_ROUND_QUERY,single,True
follow the image guidelines for zoom.,FUNDING_ROUND_QUERY,single,True
fetch details on somethin ' its final rounds.,FUNDING_ROUND_QUERY,single,True
fetch details on somethin ' the drilling rounds.,FUNDING_ROUND_QUERY,single,True
fetch details for atlassian ' n funding allocation.,FUNDING_ROUND_QUERY,single,True
for information on grants ' annual funding rounds.,FUNDING_ROUND_QUERY,single,True
more information on today ' s live rounds.,FUNDING_ROUND_QUERY,single,True
retrieve strings on dropbox ' s command structure.,FUNDING_ROUND_QUERY,single,True
who acquisitions has king made?,ACQUISITION_QUERY,single,True
whose acquisitions could apple made?,ACQUISITION_QUERY,single,True
what good has it made?,ACQUISITION_QUERY,single,True
show me... ' the acquisition planner.,ACQUISITION_QUERY,single,True
probably my apple ' s hidden history.,ACQUISITION_QUERY,single,True
show me tom ' s wedding plans.,ACQUISITION_QUERY,single,True
list all content indexed by google.,ACQUISITION_QUERY,single,True
list 9 businesses acquired after google.,ACQUISITION_QUERY,single,True
their former companies acquired near google.,ACQUISITION_QUERY,single,True
tells me about john ' em acquisitions.,ACQUISITION_QUERY,single,True
tell grace about andrew ' s computers.,ACQUISITION_QUERY,single,True
asks mike about microsoft ' s name.,ACQUISITION_QUERY,single,True
whose acquisitions should amazon complete?,ACQUISITION_QUERY,single,True
best acquisitions does amazon complete?,ACQUISITION_QUERY,single,True
what acquisitions will amazon call?,ACQUISITION_QUERY,single,True
leave me details with today ' s acquisitions.,ACQUISITION_QUERY,single,True
remembered the details on ian ' s acquisitions.,ACQUISITION_QUERY,single,True
email me details on she ' ve acquisitions.,ACQUISITION_QUERY,single,True
a children ' s daily activity.,ACQUISITION_QUERY,single,True
at facebook ' 2012 acquisition statement.,ACQUISITION_QUERY,single,True
display facebook ' i mail office.,ACQUISITION_QUERY,single,True
i want to see netflix ' favorites latest film.,ACQUISITION_QUERY,single,True
i want and see who ' s our history.,ACQUISITION_QUERY,single,True
i want to see more ' bout the history.,ACQUISITION_QUERY,single,True
new details concerning marriott ' s acquisitions.,ACQUISITION_QUERY,single,True
provide details from mellon ' next acquisitions.,ACQUISITION_QUERY,single,True
passenger details via uber ' s activities.,ACQUISITION_QUERY,single,True
show me the companies there at apple.,ACQUISITION_QUERY,single,True
were among the companies acquired by opus.,ACQUISITION_QUERY,single,True
connects me to companies covered by airbnb.,ACQUISITION_QUERY,single,True
2012 forbes ' app acquisition history.,ACQUISITION_QUERY,single,True
list writer ' s foundation fund.,ACQUISITION_QUERY,single,True
at linkedin ' 2008 acquisition value.,ACQUISITION_QUERY,single,True
what acquisitions needs anna done?,ACQUISITION_QUERY,single,True
what acquisitions has richard taken?,ACQUISITION_QUERY,single,True
what acquisitions has god given?,ACQUISITION_QUERY,single,True
fetch users ' system acquisition window.,ACQUISITION_QUERY,single,True
abc records ' latest acquisition details.,ACQUISITION_QUERY,single,True
including o ' o acquisition details.,ACQUISITION_QUERY,single,True
using information against ibm ' re acquisitions.,ACQUISITION_QUERY,single,True
get information in mia ' s network.,ACQUISITION_QUERY,single,True
recent information on dean ' s applications.,ACQUISITION_QUERY,single,True
in oracle ' true intellectual history.,ACQUISITION_QUERY,single,True
analyzing oracle ' primary acquisition strategy.,ACQUISITION_QUERY,single,True
european oracle ' at historical history.,ACQUISITION_QUERY,single,True
tell me back cisco ' d day.,ACQUISITION_QUERY,single,True
convince me that cisco ' s murder.,ACQUISITION_QUERY,single,True
tell them of cisco ' s daughter.,ACQUISITION_QUERY,single,True
a firm has salesforce status?,ACQUISITION_QUERY,single,True
what about a salesforce provided?,ACQUISITION_QUERY,single,True
good had his salesforce made?,ACQUISITION_QUERY,single,True
by sap ' s text request.,ACQUISITION_QUERY,single,True
display sap ' en new strategy.,ACQUISITION_QUERY,single,True
display sap ' 83 flight plan.,ACQUISITION_QUERY,single,True
list members ' professional career.,ACQUISITION_QUERY,single,True
list... ' in biography.,ACQUISITION_QUERY,single,True
list peoples ' other examples.,ACQUISITION_QUERY,single,True
provide details on companies ' product history.,ACQUISITION_QUERY,single,True
for details on hp ' own history.,ACQUISITION_QUERY,single,True
public commentary on hp ' current acquisitions.,ACQUISITION_QUERY,single,True
show dell ' d initial plan.,ACQUISITION_QUERY,single,True
show shareholders ' new acquisition plans.,ACQUISITION_QUERY,single,True
show d ' angelo art history.,ACQUISITION_QUERY,single,True
fetch lives on marvel ' s website.,ACQUISITION_QUERY,single,True
fetch information upon presidents ' current acquisitions.,ACQUISITION_QUERY,single,True
fetch information on clients ' of visitors.,ACQUISITION_QUERY,single,True
what good has it completed?,ACQUISITION_QUERY,single,True
whatever effort has twitter completed?,ACQUISITION_QUERY,single,True
recent acquisitions has paris completed?,ACQUISITION_QUERY,single,True
show associates ' video acquisition information.,ACQUISITION_QUERY,single,True
the d ' c acquisition details.,ACQUISITION_QUERY,single,True
show one ' s new announcement.,ACQUISITION_QUERY,single,True
british pinterest ' a pictorial history.,ACQUISITION_QUERY,single,True
list theory ' s legal process.,ACQUISITION_QUERY,single,True
the pinterest ' global acquisition group.,ACQUISITION_QUERY,single,True
tell me about tha ' e men.,ACQUISITION_QUERY,single,True
tell me all some ' 69 acquisitions.,ACQUISITION_QUERY,single,True
feed me every square ' n acquisitions.,ACQUISITION_QUERY,single,True
provide details on cruises ' management schedule.,ACQUISITION_QUERY,single,True
publishing statistics on shopify ' s services.,ACQUISITION_QUERY,single,True
provide reporting how shopify ' s users.,ACQUISITION_QUERY,single,True
what choice has harry made?,ACQUISITION_QUERY,single,True
the acquisitions has slack gone?,ACQUISITION_QUERY,single,True
which mistake has slack made?,ACQUISITION_QUERY,single,True
z capital ' s acquisition website.,ACQUISITION_QUERY,single,True
started the ' the acquisition activity.,ACQUISITION_QUERY,single,True
display the ' to live activity.,ACQUISITION_QUERY,single,True
peter twain ' s publications.,ACQUISITION_QUERY,single,True
circa circa ' 98 acquisitions.,ACQUISITION_QUERY,single,True
two brooks ' other acquisitions.,ACQUISITION_QUERY,single,True
which you want come public recently?,IPO_QUERY,single,True
which two were gone public either?,IPO_QUERY,single,True
why companies have taken down recently?,IPO_QUERY,single,True
show me no ipo file for company.,IPO_QUERY,single,True
give me the ipo script for me.,IPO_QUERY,single,True
show me the major details of us.,IPO_QUERY,single,True
what are the possible dates on these?,IPO_QUERY,single,True
can do these ipo dates for google?,IPO_QUERY,single,True
... unless the ipo dates to google?,IPO_QUERY,single,True
tell from a microsoft ' l ipo.,IPO_QUERY,single,True
asked everyone about microsoft ' d ipo.,IPO_QUERY,single,True
tell me yer dad ' s name.,IPO_QUERY,single,True
share this information for shareholders.,IPO_QUERY,single,True
the ipo service at amazon.,IPO_QUERY,single,True
provide ipo results in business.,IPO_QUERY,single,True
display his ' ev security details.,IPO_QUERY,single,True
called ryan ' s ipo file.,IPO_QUERY,single,True
or customer ' s ipo address.,IPO_QUERY,single,True
fetch the winner funded by facebook.,IPO_QUERY,single,True
on their official profile for facebook.,IPO_QUERY,single,True
fetch the ipo company in us.,IPO_QUERY,single,True
send me netflix ' app traffic data.,IPO_QUERY,single,True
show me sebastian ' s streaming results.,IPO_QUERY,single,True
ask me today ' s ipo deal.,IPO_QUERY,single,True
that is uber ' ap traffic information?,IPO_QUERY,single,True
it is uber ' mobile network information?,IPO_QUERY,single,True
what is one ' s reputation for?,IPO_QUERY,single,True
send me a ipo paper and airbnb.,IPO_QUERY,single,True
in them good ipo page of airbnb.,IPO_QUERY,single,True
gave me that ipo listed on airbnb.,IPO_QUERY,single,True
show via linkedin ' s new footage.,IPO_QUERY,single,True
selected from mike ' s ipo history.,IPO_QUERY,single,True
entry for linkedin ' s early history.,IPO_QUERY,single,True
their client ' s accounting details.,IPO_QUERY,single,True
provide users ' software design details.,IPO_QUERY,single,True
from adobe ' s official announcement.,IPO_QUERY,single,True
retrieve an ' i ipo address.,IPO_QUERY,single,True
reviews intel ' web ipo logs.,IPO_QUERY,single,True
retrieve its ' es ipo database.,IPO_QUERY,single,True
what are those ' 95 ipo applications?,IPO_QUERY,single,True
carter had ibm ' s ipo plans?,IPO_QUERY,single,True
right about sebastian ' s ipo details?,IPO_QUERY,single,True
get me eliza ' s own profile.,IPO_QUERY,single,True
show me james ' new ipo details.,IPO_QUERY,single,True
makes me oracle ' the myspace profile.,IPO_QUERY,single,True
remind him about cisco ' s wedding.,IPO_QUERY,single,True
remind me about patrick ' s brother.,IPO_QUERY,single,True
tell me about y ' the wife.,IPO_QUERY,single,True
get them position papers for salesforce.,IPO_QUERY,single,True
in our ipo scheduled for salesforce.,IPO_QUERY,single,True
had some ipo done for salesforce.,IPO_QUERY,single,True
2012 sap ' 00 ipo footage.,IPO_QUERY,single,True
get sap ' n status information.,IPO_QUERY,single,True
access technology ' s ipo report.,IPO_QUERY,single,True
what is you ' political problem anymore?,IPO_QUERY,single,True
what does qualcomm ' r medical program?,IPO_QUERY,single,True
why is qualcomm ' d doing here?,IPO_QUERY,single,True
fetch clients ' corporate ipo process.,IPO_QUERY,single,True
text me ' s price details.,IPO_QUERY,single,True
to taxpayers ' latest ipo details.,IPO_QUERY,single,True
show frank dell ' awful military history.,IPO_QUERY,single,True
show a dell ' antonio ipo suit.,IPO_QUERY,single,True
show this ol ' italian ipo history.,IPO_QUERY,single,True
company manager ' s expense details.,IPO_QUERY,single,True
provide microsoft ' s marketing center.,IPO_QUERY,single,True
take ebay ' a account details.,IPO_QUERY,single,True
just maybe he ' s ipo details?,IPO_QUERY,single,True
that is twitter ' s ipo plans?,IPO_QUERY,single,True
what about twitter ' other financial details?,IPO_QUERY,single,True
display wi ' on ipo again.,IPO_QUERY,single,True
the david ' s ipo poster.,IPO_QUERY,single,True
gma network ' s ipo site.,IPO_QUERY,single,True
gave me the pinterest ' old name.,IPO_QUERY,single,True
show him around alex ' s ipo.,IPO_QUERY,single,True
tell him about bo ' the parents.,IPO_QUERY,single,True
give me the full details... me.,IPO_QUERY,single,True
giving her the ipo details for sure.,IPO_QUERY,single,True
give me any ipo details while yourself.,IPO_QUERY,single,True
show mom ' s big date.,IPO_QUERY,single,True
see shopify ' s release date.,IPO_QUERY,single,True
the shopify ' 95 ipo held.,IPO_QUERY,single,True
pat slack ' ll contact details.,IPO_QUERY,single,True
dexter morgan ' s ipo list.,IPO_QUERY,single,True
retrieve slack ' bout brown paper.,IPO_QUERY,single,True
like in zoom ' s new details?,IPO_QUERY,single,True
he happened sam ' s ipo details?,IPO_QUERY,single,True
where did zoom ' s ipo plans?,IPO_QUERY,single,True
provide writers ' all source information.,IPO_QUERY,single,True
strategic services ' s ipo valuation.,IPO_QUERY,single,True
running atlassian ' national financial information.,IPO_QUERY,single,True
showing me photographs of top investors from the startup boom.,INVESTOR_QUERY,single,True
give me profiles of top investors in these private companies.,INVESTOR_QUERY,single,True
show me evidence of emerging investors creating their startup ecosystem.,INVESTOR_QUERY,single,True
whom are these leading investors in the startups?,INVESTOR_QUERY,single,True
who are some leading names in tech infrastructure?,INVESTOR_QUERY,single,True
how are the leading minds in tech innovation?,INVESTOR_QUERY,single,True
retrieve details on other infrastructure firms investing in ai.,INVESTOR_QUERY,single,True
details details about venture capital firms investing through cambodia.,INVESTOR_QUERY,single,True
retrieve details about venture security firms building in israel.,INVESTOR_QUERY,single,True
list the international brands for healthcare startups.,INVESTOR_QUERY,single,True
pick 1 best investors for biotech startups.,INVESTOR_QUERY,single,True
list the big 100 worldwide biotech startups.,INVESTOR_QUERY,single,True
give value profiles by investors entering renewable energy.,INVESTOR_QUERY,single,True
give special profiles of scientists in bio energy.,INVESTOR_QUERY,single,True
give me details of investors in their energies.,INVESTOR_QUERY,single,True
provide information in opportunities for fintech.,INVESTOR_QUERY,single,True
provide information to investors of commodities.,INVESTOR_QUERY,single,True
publish information on collaboration with fintech.,INVESTOR_QUERY,single,True
what companies are active alongside the industrial sector?,INVESTOR_QUERY,single,True
because investors are calling in the gaming field?,INVESTOR_QUERY,single,True
what investors are they in the entertainment scene?,INVESTOR_QUERY,single,True
gives me videos of angel investors in palm valley.,INVESTOR_QUERY,single,True
show me profiles with angel investors around river valley.,INVESTOR_QUERY,single,True
show me profiles for angel clients at silicon valley.,INVESTOR_QUERY,single,True
list prominent contributions to mobile technologies.,INVESTOR_QUERY,single,True
other prominent persons developing mobile technology.,INVESTOR_QUERY,single,True
list prominent brands by global technology.,INVESTOR_QUERY,single,True
retrieve details on statistical data on enterprise growth.,INVESTOR_QUERY,single,True
offer details for investors focusing toward enterprise software.,INVESTOR_QUERY,single,True
more details on investors focusing on growth ventures.,INVESTOR_QUERY,single,True
these are the men behind successful deals?,INVESTOR_QUERY,single,True
who said the experts in successful unicorns?,INVESTOR_QUERY,single,True
who are the people behind his dreams?,INVESTOR_QUERY,single,True
send me three profiles from personalities in e - commerce.,INVESTOR_QUERY,single,True
ask me an address of investors in e - mail.,INVESTOR_QUERY,single,True
give back the report from investors in e - trade.,INVESTOR_QUERY,single,True
show me the profiles of people involved in creative computing.,INVESTOR_QUERY,single,True
teach me some basics for investors investing in cloud computing.,INVESTOR_QUERY,single,True
show are the network it engineers serving in cloud computing.,INVESTOR_QUERY,single,True
identify top global players in medical tech.,INVESTOR_QUERY,single,True
list 20 global investors in alternative insurance.,INVESTOR_QUERY,single,True
working with global investors in health biotechnology.,INVESTOR_QUERY,single,True
jones profiles as investors of edtech.,INVESTOR_QUERY,single,True
retrieve certificates of investors within china.,INVESTOR_QUERY,single,True
old pictures of people in edtech.,INVESTOR_QUERY,single,True
further details about individuals active in the cleantech industry.,INVESTOR_QUERY,single,True
biographical details at investors participating in the insurance sector.,INVESTOR_QUERY,single,True
more details among investors active in the securities industry.,INVESTOR_QUERY,single,True
where are the key figures in new technology?,INVESTOR_QUERY,single,True
who was the key investors wanting advanced technology?,INVESTOR_QUERY,single,True
who are the important investors with automotive tech?,INVESTOR_QUERY,single,True
show me you as investors in vr of ar.,INVESTOR_QUERY,single,True
show three profiles of investors in broadcasting and streaming.,INVESTOR_QUERY,single,True
show me profiles with investors through vr and vr.,INVESTOR_QUERY,single,True
international investors fund switzerland.,INVESTOR_QUERY,single,True
american center for cybersecurity.,INVESTOR_QUERY,single,True
communications on using cybersecurity.,INVESTOR_QUERY,single,True
some details on investors for certain tech startups.,INVESTOR_QUERY,single,True
retrieve details on investors backing finished goods companies.,INVESTOR_QUERY,single,True
verified signatures of investors backing consumer tech startups.,INVESTOR_QUERY,single,True
provide investor advice for individual stores.,INVESTOR_QUERY,single,True
making individual profiles in blockchain startups.,INVESTOR_QUERY,single,True
provide investor guides for selected transactions.,INVESTOR_QUERY,single,True
who knows the investors now in saas ii?,INVESTOR_QUERY,single,True
who owns the companies represented in saas companies?,INVESTOR_QUERY,single,True
who are our investors back in new companies?,INVESTOR_QUERY,single,True
give me profiles of investors and tv advertising channels.,INVESTOR_QUERY,single,True
give me profiles through facebook and our media startups.,INVESTOR_QUERY,single,True
create quick profiles of investors in global media accounts.,INVESTOR_QUERY,single,True
show more details in investors from digital media.,INVESTOR_QUERY,single,True
show me more about developments in digital media.,INVESTOR_QUERY,single,True
includes detailed details on performance in digital media.,INVESTOR_QUERY,single,True
represent the private investors in iot investors.,INVESTOR_QUERY,single,True
list the leading investors for several ventures.,INVESTOR_QUERY,single,True
networking with potential investors in iot startups.,INVESTOR_QUERY,single,True
retrieve files of researchers through robotics.,INVESTOR_QUERY,single,True
retrieve profiles from professionals in business.,INVESTOR_QUERY,single,True
retrieve funds from investors in debt.,INVESTOR_QUERY,single,True
and information regarding investors in health and wellness activities.,INVESTOR_QUERY,single,True
provide feedback on investors to health and medical tech.,INVESTOR_QUERY,single,True
provide recommendations onto investors in health and wellness insurance.,INVESTOR_QUERY,single,True
we are the top investors within the service sector?,INVESTOR_QUERY,single,True
whom are the top investors to the private sector?,INVESTOR_QUERY,single,True
who is the key investors in global logistics sector?,INVESTOR_QUERY,single,True
show me profiles against investors while real and tech.,INVESTOR_QUERY,single,True
show me friends and investors in an estate tech.,INVESTOR_QUERY,single,True
write me profiles of you as real estate tech.,INVESTOR_QUERY,single,True
reports on investors in ar / vr ventures.,INVESTOR_QUERY,single,True
