query,labels,example_type
Display Facebook's acquisition activity.,ACQUISITION_QUERY,single
I want to see Netflix's acquisition history.,ACQUISITION_QUERY,single
Provide details on Uber's acquisitions.,ACQUISITION_QUERY,single
Show me the companies acquired by Airbnb.,ACQUISITION_QUERY,single
List LinkedIn's acquisition history.,ACQUISITION_QUERY,single
What acquisitions has Adobe done?,ACQUISITION_QUERY,single
Fetch Intel's acquisition details.,ACQUISITION_QUERY,single
Get information on IBM's acquisitions.,ACQUISITION_QUERY,single
Show Oracle's acquisition history.,ACQUISITION_QUERY,single
Tell me about Cisco's acquisitions.,ACQUISITION_QUERY,single
What acquisitions has Salesforce made?,ACQUISITION_QUERY,single
Display SAP's acquisition record.,ACQUISITION_QUERY,single
List Qualcomm's acquisitions.,ACQUISITION_QUERY,single
Provide details on HP's acquisitions.,ACQUISITION_QUERY,single
Show Dell's acquisition history.,ACQUISITION_QUERY,single
Fetch information on eBay's acquisitions.,ACQUISITION_QUERY,single
What acquisitions has Twitter completed?,ACQUISITION_QUERY,single
Show Snapchat's acquisition details.,ACQUISITION_QUERY,single
List Pinterest's acquisition history.,ACQUISITION_QUERY,single
Tell me about Square's acquisitions.,ACQUISITION_QUERY,single
Provide details on Shopify's acquisitions.,ACQUISITION_QUERY,single
What acquisitions has Slack made?,ACQUISITION_QUERY,single
Display Zoom's acquisition activity.,ACQUISITION_QUERY,single
List Atlassian's acquisitions.,ACQUISITION_QUERY,single
Which companies have gone public recently?,IPO_QUERY,single
Show me the IPO details for Apple.,IPO_QUERY,single
What are the IPO dates for Google?,IPO_QUERY,single
Tell me about Microsoft's IPO.,IPO_QUERY,single
Provide IPO information for Amazon.,IPO_QUERY,single
Display Tesla's IPO details.,IPO_QUERY,single
Fetch the IPO profile for Facebook.,IPO_QUERY,single
Show me Netflix's IPO data.,IPO_QUERY,single
What is Uber's IPO information?,IPO_QUERY,single
Give me the IPO details of Airbnb.,IPO_QUERY,single
Show me LinkedIn's IPO history.,IPO_QUERY,single
Provide Adobe's IPO details.,IPO_QUERY,single
Retrieve Intel's IPO information.,IPO_QUERY,single
What are IBM's IPO details?,IPO_QUERY,single
Show me Oracle's IPO profile.,IPO_QUERY,single
Tell me about Cisco's IPO.,IPO_QUERY,single
Get the IPO details for Salesforce.,IPO_QUERY,single
Display SAP's IPO information.,IPO_QUERY,single
What is Qualcomm's IPO data?,IPO_QUERY,single
Fetch HP's IPO details.,IPO_QUERY,single
Show me Dell's IPO history.,IPO_QUERY,single
Provide eBay's IPO details.,IPO_QUERY,single
What are Twitter's IPO details?,IPO_QUERY,single
Display Snapchat's IPO information.,IPO_QUERY,single
Tell me about Pinterest's IPO.,IPO_QUERY,single
Give me the IPO details for Square.,IPO_QUERY,single
Show Shopify's IPO information.,IPO_QUERY,single
Retrieve Slack's IPO details.,IPO_QUERY,single
What are Zoom's IPO details?,IPO_QUERY,single
Provide Atlassian's IPO information.,IPO_QUERY,single
Show me profiles of top investors in the startup ecosystem.,INVESTOR_QUERY,single
Who are the leading investors in tech startups?,INVESTOR_QUERY,single
Retrieve details about venture capital firms investing in AI.,INVESTOR_QUERY,single
List the top investors for biotech startups.,INVESTOR_QUERY,single
Give me profiles of investors in renewable energy.,INVESTOR_QUERY,single
Provide information on investors in fintech.,INVESTOR_QUERY,single
What investors are active in the gaming sector?,INVESTOR_QUERY,single
Show me profiles of angel investors in Silicon Valley.,INVESTOR_QUERY,single
List prominent investors in mobile technology.,INVESTOR_QUERY,single
Retrieve details on investors focusing on enterprise software.,INVESTOR_QUERY,single
Who are the investors behind successful unicorns?,INVESTOR_QUERY,single
Give me the profiles of investors in e-commerce.,INVESTOR_QUERY,single
Show me the network of investors investing in cloud computing.,INVESTOR_QUERY,single
List top global investors in health tech.,INVESTOR_QUERY,single
Retrieve profiles of investors in edtech.,INVESTOR_QUERY,single
Provide details on investors active in the cleantech sector.,INVESTOR_QUERY,single
Who are the key investors in automotive technology?,INVESTOR_QUERY,single
Show me profiles of investors in VR and AR.,INVESTOR_QUERY,single
List investors in cybersecurity.,INVESTOR_QUERY,single
Retrieve details on investors backing consumer tech startups.,INVESTOR_QUERY,single
Provide investor profiles for blockchain startups.,INVESTOR_QUERY,single
Who are the investors investing in SaaS companies?,INVESTOR_QUERY,single
Give me profiles of investors in social media startups.,INVESTOR_QUERY,single
Show me details on investors in digital media.,INVESTOR_QUERY,single
List the leading investors in IoT startups.,INVESTOR_QUERY,single
Retrieve profiles of investors in robotics.,INVESTOR_QUERY,single
Provide information on investors in health and wellness tech.,INVESTOR_QUERY,single
Who are the top investors in the logistics sector?,INVESTOR_QUERY,single
Show me profiles of investors in real estate tech.,INVESTOR_QUERY,single
List prominent investors in AR/VR startups.,INVESTOR_QUERY,single
Give me the investment history for Apple.,INVESTMENT_DETAILS_QUERY,single
Show me the past investments made by Google.,INVESTMENT_DETAILS_QUERY,single
Retrieve the investment details for Microsoft.,INVESTMENT_DETAILS_QUERY,single
What investments has Amazon received?,INVESTMENT_DETAILS_QUERY,single
Provide the investment history for Tesla.,INVESTMENT_DETAILS_QUERY,single
Display Facebook's past investment details.,INVESTMENT_DETAILS_QUERY,single
Show me the investment timeline for Netflix.,INVESTMENT_DETAILS_QUERY,single
Give me the investment details for Uber.,INVESTMENT_DETAILS_QUERY,single
What investments has Airbnb secured?,INVESTMENT_DETAILS_QUERY,single
Retrieve the investment history for LinkedIn.,INVESTMENT_DETAILS_QUERY,single
Show me Adobe's investment details.,INVESTMENT_DETAILS_QUERY,single
Provide the investment history for Intel.,INVESTMENT_DETAILS_QUERY,single
What are IBM's past investments?,INVESTMENT_DETAILS_QUERY,single
Retrieve Oracle's investment details.,INVESTMENT_DETAILS_QUERY,single
Show me Cisco's investment history.,INVESTMENT_DETAILS_QUERY,single
Give me the investment details for Salesforce.,INVESTMENT_DETAILS_QUERY,single
Provide SAP's investment timeline.,INVESTMENT_DETAILS_QUERY,single
Display Qualcomm's investment history.,INVESTMENT_DETAILS_QUERY,single
What investments has HP received?,INVESTMENT_DETAILS_QUERY,single
Show me Dell's investment details.,INVESTMENT_DETAILS_QUERY,single
Retrieve eBay's investment history.,INVESTMENT_DETAILS_QUERY,single
Give me the investment timeline for Twitter.,INVESTMENT_DETAILS_QUERY,single
Show me Snapchat's investment details.,INVESTMENT_DETAILS_QUERY,single
Provide Pinterest's investment history.,INVESTMENT_DETAILS_QUERY,single
What investments has Square received?,INVESTMENT_DETAILS_QUERY,single
Retrieve Shopify's investment details.,INVESTMENT_DETAILS_QUERY,single
Show me Slack's investment timeline.,INVESTMENT_DETAILS_QUERY,single
Give me the investment history for Zoom.,INVESTMENT_DETAILS_QUERY,single
What are Atlassian's investment details?,INVESTMENT_DETAILS_QUERY,single
Provide Dropbox's investment timeline.,INVESTMENT_DETAILS_QUERY,single
Show me the parent company of YouTube.,ORGANIZATION_RELATIONSHIP_QUERY,single
What is the subsidiary relationship of Alphabet?,ORGANIZATION_RELATIONSHIP_QUERY,single
Retrieve details on the organizational hierarchy of Samsung.,ORGANIZATION_RELATIONSHIP_QUERY,single
Give me the parent-subsidiary structure of Microsoft.,ORGANIZATION_RELATIONSHIP_QUERY,single
Display the relationship between Facebook and its subsidiaries.,ORGANIZATION_RELATIONSHIP_QUERY,single
List the parent companies for companies in the tech sector.,ORGANIZATION_RELATIONSHIP_QUERY,single
What are the subsidiaries of Alphabet?,ORGANIZATION_RELATIONSHIP_QUERY,single
Show me the corporate relationships within the Apple group.,ORGANIZATION_RELATIONSHIP_QUERY,single
Provide details on the organizational structure of Google.,ORGANIZATION_RELATIONSHIP_QUERY,single
Retrieve the parent company of Instagram.,ORGANIZATION_RELATIONSHIP_QUERY,single
Give me the parent-subsidiary relationships for Amazon.,ORGANIZATION_RELATIONSHIP_QUERY,single
What is the corporate hierarchy for Oracle?,ORGANIZATION_RELATIONSHIP_QUERY,single
Show me the organizational relationships for Cisco.,ORGANIZATION_RELATIONSHIP_QUERY,single
List the subsidiaries of IBM.,ORGANIZATION_RELATIONSHIP_QUERY,single
Provide details on Hewlett-Packard's organizational structure.,ORGANIZATION_RELATIONSHIP_QUERY,single
Retrieve the parent company of LinkedIn.,ORGANIZATION_RELATIONSHIP_QUERY,single
What is the subsidiary structure of Sony?,ORGANIZATION_RELATIONSHIP_QUERY,single
Display the corporate relationships within the Samsung group.,ORGANIZATION_RELATIONSHIP_QUERY,single
Show me the parent organization of WhatsApp.,ORGANIZATION_RELATIONSHIP_QUERY,single
Give me details on the organizational hierarchy for Dell.,ORGANIZATION_RELATIONSHIP_QUERY,single
List the subsidiaries under Intel.,ORGANIZATION_RELATIONSHIP_QUERY,single
What is the parent-subsidiary relationship for Adobe?,ORGANIZATION_RELATIONSHIP_QUERY,single
Show me the organizational structure for Salesforce.,ORGANIZATION_RELATIONSHIP_QUERY,single
Retrieve details on the relationship between Microsoft and LinkedIn.,ORGANIZATION_RELATIONSHIP_QUERY,single
Provide the parent company details for YouTube.,ORGANIZATION_RELATIONSHIP_QUERY,single
What are the organizational relationships for Twitter?,ORGANIZATION_RELATIONSHIP_QUERY,single
Display the parent-subsidiary structure for Panasonic.,ORGANIZATION_RELATIONSHIP_QUERY,single
Give me the relationship details of IBM's corporate structure.,ORGANIZATION_RELATIONSHIP_QUERY,single
List the subsidiaries of Oracle.,ORGANIZATION_RELATIONSHIP_QUERY,single
Show me the parent company of Slack.,ORGANIZATION_RELATIONSHIP_QUERY,single
Who are the co-investors in Apple's latest funding round?,INVESTMENT_PARTNER_QUERY,single
List the investment partners for Google in its recent round.,INVESTMENT_PARTNER_QUERY,single
Show me the co-investors for Microsoft's latest funding round.,INVESTMENT_PARTNER_QUERY,single
Retrieve the investment partners involved in Amazon's funding.,INVESTMENT_PARTNER_QUERY,single
Give me the co-investors for Tesla's recent round.,INVESTMENT_PARTNER_QUERY,single
Display the investment partners for Facebook.,INVESTMENT_PARTNER_QUERY,single
Who co-invested in Netflix's last funding round?,INVESTMENT_PARTNER_QUERY,single
Show me the co-investors for Uber.,INVESTMENT_PARTNER_QUERY,single
List the investment partners for Airbnb's funding round.,INVESTMENT_PARTNER_QUERY,single
Provide details on LinkedIn's co-investors.,INVESTMENT_PARTNER_QUERY,single
Who are the co-investors in Adobe's latest round?,INVESTMENT_PARTNER_QUERY,single
Retrieve the investment partners for Intel.,INVESTMENT_PARTNER_QUERY,single
Show me the co-investors for IBM's funding round.,INVESTMENT_PARTNER_QUERY,single
List the co-investment partners for Oracle.,INVESTMENT_PARTNER_QUERY,single
Give me details on Cisco's investment partners.,INVESTMENT_PARTNER_QUERY,single
Display the co-investors for Salesforce's funding round.,INVESTMENT_PARTNER_QUERY,single
Who are the co-investors in SAP's latest round?,INVESTMENT_PARTNER_QUERY,single
Show me the investment partners for Qualcomm.,INVESTMENT_PARTNER_QUERY,single
List the co-investors for HP's funding round.,INVESTMENT_PARTNER_QUERY,single
Retrieve details on Dell's investment partners.,INVESTMENT_PARTNER_QUERY,single
Who co-invested in eBay's latest funding round?,INVESTMENT_PARTNER_QUERY,single
Show me the co-investors for Twitter.,INVESTMENT_PARTNER_QUERY,single
List the investment partners for Snapchat's round.,INVESTMENT_PARTNER_QUERY,single
Provide details on Pinterest's co-investors.,INVESTMENT_PARTNER_QUERY,single
Who are the co-investors in Square's latest funding round?,INVESTMENT_PARTNER_QUERY,single
Retrieve the investment partners for Shopify.,INVESTMENT_PARTNER_QUERY,single
Show me the co-investors for Slack.,INVESTMENT_PARTNER_QUERY,single
List the investment partners for Zoom's funding round.,INVESTMENT_PARTNER_QUERY,single
Give me details on Atlassian's co-investors.,INVESTMENT_PARTNER_QUERY,single
Display the co-investors for Dropbox's funding round.,INVESTMENT_PARTNER_QUERY,single
Show me details on Sequoia Capital's funds.,FUNDS_QUERY,single
Retrieve information on Andreessen Horowitz's funds.,FUNDS_QUERY,single
Give me the fund details for SoftBank.,FUNDS_QUERY,single
What are the details of Accel's investment funds?,FUNDS_QUERY,single
Display the funds managed by Greylock Partners.,FUNDS_QUERY,single
Provide information on Kleiner Perkins' funds.,FUNDS_QUERY,single
Show me details on Bessemer Venture Partners' funds.,FUNDS_QUERY,single
Retrieve the fund information for Lightspeed Venture Partners.,FUNDS_QUERY,single
Give me details on Founders Fund's investment funds.,FUNDS_QUERY,single
What are the details of Benchmark's funds?,FUNDS_QUERY,single
Display the funds managed by Tiger Global.,FUNDS_QUERY,single
Provide information on New Enterprise Associates' funds.,FUNDS_QUERY,single
Show me details on Index Ventures' funds.,FUNDS_QUERY,single
Retrieve information on Union Square Ventures' funds.,FUNDS_QUERY,single
Give me the fund details for Insight Venture Partners.,FUNDS_QUERY,single
What are the details of General Catalyst's funds?,FUNDS_QUERY,single
Display the funds managed by DFJ.,FUNDS_QUERY,single
Provide information on Battery Ventures' funds.,FUNDS_QUERY,single
Show me details on Redpoint Ventures' funds.,FUNDS_QUERY,single
Retrieve the fund information for Menlo Ventures.,FUNDS_QUERY,single
Give me details on RRE Ventures' funds.,FUNDS_QUERY,single
What are the details of CRV's funds?,FUNDS_QUERY,single
Display the funds managed by Shasta Ventures.,FUNDS_QUERY,single
Provide information on First Round Capital's funds.,FUNDS_QUERY,single
Show me details on Social Capital's investment funds.,FUNDS_QUERY,single
Retrieve information on Venrock's funds.,FUNDS_QUERY,single
Give me the fund details for Upfront Ventures.,FUNDS_QUERY,single
What are the details of Sapphire Ventures' funds?,FUNDS_QUERY,single
Display the funds managed by Revolution Ventures.,FUNDS_QUERY,single
Provide information on Intel Capital's funds.,FUNDS_QUERY,single
Show me current job openings at Apple.,JOBS_QUERY,single
List the latest job openings for Google.,JOBS_QUERY,single
Retrieve recent job postings at Microsoft.,JOBS_QUERY,single
What are the current job listings for Amazon?,JOBS_QUERY,single
Display job openings at Tesla.,JOBS_QUERY,single
Provide job listings for Facebook.,JOBS_QUERY,single
Show me recent job postings at Netflix.,JOBS_QUERY,single
Retrieve current job openings at Uber.,JOBS_QUERY,single
List job postings for Airbnb.,JOBS_QUERY,single
What are the latest job openings at LinkedIn?,JOBS_QUERY,single
Display job listings for Adobe.,JOBS_QUERY,single
Show me current job postings at Intel.,JOBS_QUERY,single
Retrieve job openings for IBM.,JOBS_QUERY,single
List job postings at Oracle.,JOBS_QUERY,single
What are the current job openings at Cisco?,JOBS_QUERY,single
Display job listings for Salesforce.,JOBS_QUERY,single
Provide job postings for SAP.,JOBS_QUERY,single
Show me recent job openings at Qualcomm.,JOBS_QUERY,single
Retrieve job listings for HP.,JOBS_QUERY,single
List current job openings at Dell.,JOBS_QUERY,single
What are the latest job postings for eBay?,JOBS_QUERY,single
Display job listings for Twitter.,JOBS_QUERY,single
Show me job openings at Snapchat.,JOBS_QUERY,single
Retrieve job postings for Pinterest.,JOBS_QUERY,single
List current job openings at Square.,JOBS_QUERY,single
What are the job postings for Shopify?,JOBS_QUERY,single
Display job listings for Slack.,JOBS_QUERY,single
Show me recent job openings at Zoom.,JOBS_QUERY,single
Retrieve job postings for Atlassian.,JOBS_QUERY,single
List job openings at Dropbox.,JOBS_QUERY,single
Show me the profile of Elon Musk.,PEOPLE_PROFILE_QUERY,single
Retrieve the profile of Jeff Bezos.,PEOPLE_PROFILE_QUERY,single
Give me the profile of Sundar Pichai.,PEOPLE_PROFILE_QUERY,single
What is the profile of Mark Zuckerberg?,PEOPLE_PROFILE_QUERY,single
Display the profile of Tim Cook.,PEOPLE_PROFILE_QUERY,single
Show me the profile of Satya Nadella.,PEOPLE_PROFILE_QUERY,single
Retrieve the profile of Larry Page.,PEOPLE_PROFILE_QUERY,single
Give me the profile of Sergey Brin.,PEOPLE_PROFILE_QUERY,single
What is the profile of Jack Dorsey?,PEOPLE_PROFILE_QUERY,single
Display the profile of Marissa Mayer.,PEOPLE_PROFILE_QUERY,single
Show me the profile of Sheryl Sandberg.,PEOPLE_PROFILE_QUERY,single
Retrieve the profile of Reed Hastings.,PEOPLE_PROFILE_QUERY,single
Give me the profile of Brian Chesky.,PEOPLE_PROFILE_QUERY,single
What is the profile of Drew Houston?,PEOPLE_PROFILE_QUERY,single
Display the profile of Steve Jobs.,PEOPLE_PROFILE_QUERY,single
Show me the profile of Bill Gates.,PEOPLE_PROFILE_QUERY,single
Retrieve the profile of Jeff Weiner.,PEOPLE_PROFILE_QUERY,single
Give me the profile of Meg Whitman.,PEOPLE_PROFILE_QUERY,single
What is the profile of Michael Dell?,PEOPLE_PROFILE_QUERY,single
Display the profile of Larry Ellison.,PEOPLE_PROFILE_QUERY,single
Show me the profile of Paul Allen.,PEOPLE_PROFILE_QUERY,single
Retrieve the profile of Steve Ballmer.,PEOPLE_PROFILE_QUERY,single
Give me the profile of Ginni Rometty.,PEOPLE_PROFILE_QUERY,single
What is the profile of Indra Nooyi?,PEOPLE_PROFILE_QUERY,single
Display the profile of Ursula Burns.,PEOPLE_PROFILE_QUERY,single
Show me the profile of Marc Benioff.,PEOPLE_PROFILE_QUERY,single
Retrieve the profile of Travis Kalanick.,PEOPLE_PROFILE_QUERY,single
Give me the profile of Anne Wojcicki.,PEOPLE_PROFILE_QUERY,single
What is the profile of Eric Schmidt?,PEOPLE_PROFILE_QUERY,single
Display the profile of Peter Thiel.,PEOPLE_PROFILE_QUERY,single
What is Elon Musk's educational background?,EDUCATION_QUERY,single
Show me the degrees held by Jeff Bezos.,EDUCATION_QUERY,single
Retrieve the educational qualifications of Sundar Pichai.,EDUCATION_QUERY,single
What is Mark Zuckerberg's educational history?,EDUCATION_QUERY,single
Display Tim Cook's academic background.,EDUCATION_QUERY,single
Show me Satya Nadella's education details.,EDUCATION_QUERY,single
Retrieve the educational background of Larry Page.,EDUCATION_QUERY,single
What degrees do Sergey Brin hold?,EDUCATION_QUERY,single
Provide details on Jack Dorsey's education.,EDUCATION_QUERY,single
What is Marissa Mayer's academic history?,EDUCATION_QUERY,single
Show me Sheryl Sandberg's educational background.,EDUCATION_QUERY,single
Retrieve the degrees earned by Reed Hastings.,EDUCATION_QUERY,single
What is Brian Chesky's educational qualification?,EDUCATION_QUERY,single
Display Drew Houston's academic credentials.,EDUCATION_QUERY,single
Show me Steve Jobs' education history.,EDUCATION_QUERY,single
What is Bill Gates' educational background?,EDUCATION_QUERY,single
Retrieve Jeff Weiner's academic details.,EDUCATION_QUERY,single
Provide the educational background of Meg Whitman.,EDUCATION_QUERY,single
What degrees does Michael Dell have?,EDUCATION_QUERY,single
Show me Larry Ellison's academic credentials.,EDUCATION_QUERY,single
Retrieve Paul Allen's education history.,EDUCATION_QUERY,single
What is Steve Ballmer's educational background?,EDUCATION_QUERY,single
Display Ginni Rometty's academic details.,EDUCATION_QUERY,single
What is Indra Nooyi's educational background?,EDUCATION_QUERY,single
Show me Ursula Burns' academic credentials.,EDUCATION_QUERY,single
Retrieve Marc Benioff's education history.,EDUCATION_QUERY,single
What is Travis Kalanick's educational background?,EDUCATION_QUERY,single
Display Anne Wojcicki's academic details.,EDUCATION_QUERY,single
What degrees does Eric Schmidt hold?,EDUCATION_QUERY,single
Show me Peter Thiel's educational background.,EDUCATION_QUERY,single
Who are the main competitors of Apple?,COMPETITOR_LOOKUP,single
List Google's top competitors.,COMPETITOR_LOOKUP,single
Show me the competitors of Microsoft.,COMPETITOR_LOOKUP,single
Identify Amazon's key competitors.,COMPETITOR_LOOKUP,single
Who competes with Tesla in the market?,COMPETITOR_LOOKUP,single
List Facebook's competitors.,COMPETITOR_LOOKUP,single
What are the main competitors of Netflix?,COMPETITOR_LOOKUP,single
Identify Uber's competitors.,COMPETITOR_LOOKUP,single
Show me the competitors of Airbnb.,COMPETITOR_LOOKUP,single
List LinkedIn's competitor companies.,COMPETITOR_LOOKUP,single
Who are Adobe's main competitors?,COMPETITOR_LOOKUP,single
Identify Intel's competitors.,COMPETITOR_LOOKUP,single
Show me the competitors of IBM.,COMPETITOR_LOOKUP,single
List Oracle's key competitors.,COMPETITOR_LOOKUP,single
What are Cisco's competitor companies?,COMPETITOR_LOOKUP,single
Identify Salesforce's main competitors.,COMPETITOR_LOOKUP,single
Who competes with SAP in the industry?,COMPETITOR_LOOKUP,single
List Qualcomm's competitors.,COMPETITOR_LOOKUP,single
Show me the competitors of HP.,COMPETITOR_LOOKUP,single
Identify Dell's key competitors.,COMPETITOR_LOOKUP,single
Who are the competitors of eBay?,COMPETITOR_LOOKUP,single
List Twitter's competitor companies.,COMPETITOR_LOOKUP,single
What are Snapchat's competitors?,COMPETITOR_LOOKUP,single
Identify Pinterest's main competitors.,COMPETITOR_LOOKUP,single
Show me the competitors of Square.,COMPETITOR_LOOKUP,single
List Shopify's key competitors.,COMPETITOR_LOOKUP,single
Who competes with Slack in the market?,COMPETITOR_LOOKUP,single
Identify Zoom's competitors.,COMPETITOR_LOOKUP,single
Show me the competitors of Atlassian.,COMPETITOR_LOOKUP,single
List Dropbox's main competitors.,COMPETITOR_LOOKUP,single
Identify companies in cybersecurity that recently secured funding.,LEAD_GENERATION_QUERY,single
Show me startups in AI that are potential sales leads.,LEAD_GENERATION_QUERY,single
List emerging fintech companies for lead generation.,LEAD_GENERATION_QUERY,single
Find companies in health tech with recent funding rounds.,LEAD_GENERATION_QUERY,single
Identify promising e-commerce startups as leads.,LEAD_GENERATION_QUERY,single
Show me potential sales leads in the SaaS sector.,LEAD_GENERATION_QUERY,single
List cybersecurity firms with recent funding for lead generation.,LEAD_GENERATION_QUERY,single
Find startups in renewable energy that could be sales prospects.,LEAD_GENERATION_QUERY,single
Identify companies in the edtech space for lead generation.,LEAD_GENERATION_QUERY,single
Show me potential leads among digital media startups.,LEAD_GENERATION_QUERY,single
List companies in the blockchain sector that received funding.,LEAD_GENERATION_QUERY,single
Find startups in the IoT space for sales outreach.,LEAD_GENERATION_QUERY,single
Identify promising consumer tech companies as leads.,LEAD_GENERATION_QUERY,single
Show me sales leads in the mobile app industry.,LEAD_GENERATION_QUERY,single
List emerging biotech startups for lead generation.,LEAD_GENERATION_QUERY,single
Find innovative AR/VR startups as potential sales leads.,LEAD_GENERATION_QUERY,single
Identify promising robotics companies for outreach.,LEAD_GENERATION_QUERY,single
Show me potential leads in the gaming industry.,LEAD_GENERATION_QUERY,single
List companies in the SaaS space with recent investments.,LEAD_GENERATION_QUERY,single
Find digital health startups that are good sales prospects.,LEAD_GENERATION_QUERY,single
Identify promising cleantech companies for lead generation.,LEAD_GENERATION_QUERY,single
Show me companies in the logistics tech sector for lead generation.,LEAD_GENERATION_QUERY,single
List startups in the travel tech space as potential leads.,LEAD_GENERATION_QUERY,single
Find companies in the food tech sector for lead generation.,LEAD_GENERATION_QUERY,single
Identify emerging adtech startups as sales leads.,LEAD_GENERATION_QUERY,single
Show me companies in the influencer marketing space for outreach.,LEAD_GENERATION_QUERY,single
List fashion tech startups with recent funding rounds.,LEAD_GENERATION_QUERY,single
Find companies in the automotive tech space as potential leads.,LEAD_GENERATION_QUERY,single
Identify promising startups in the sports tech sector for lead generation.,LEAD_GENERATION_QUERY,single
Show me potential sales leads in the digital payments space.,LEAD_GENERATION_QUERY,single
Provide an analysis of the top 5 players in the cloud computing market.,MARKET_ANALYSIS_QUERY,single
Show me a market analysis of the fintech sector.,MARKET_ANALYSIS_QUERY,single
What are the current trends in the startup ecosystem?,MARKET_ANALYSIS_QUERY,single
Give me a market overview of the health tech industry.,MARKET_ANALYSIS_QUERY,single
Provide insights into the competitive landscape of the AI sector.,MARKET_ANALYSIS_QUERY,single
