query,labels,example_type,augmented
show me the latest trends round about 2014. list who ' re major competitors. show me a full analysis of the android marketplace.,"FUNDING_ROUND_QUERY,COMPETITOR_LOOKUP,MARKET_ANALYSIS_QUERY",triple,True
provide the investment listing for microsoft. retrieve details for the value hierarchy of samsung. give recent job openings to yahoo.,"INVESTMENT_DETAILS_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,JOBS_QUERY",triple,True
the acquisitions has ted made? show me details of sequoia capital ' s funds. and our current seed location in his global ecosystem.,"ACQUISITION_QUERY,FUNDS_QUERY,MARKET_TRENDS_QUERY",triple,True
no need the main roster for tonight. get details on we ' re revenue rounds. retrieve the interview qualifications with sundar pichai.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,EDUCATION_QUERY",triple,True
show me any initial investments made by google. what is the subsidiary structure between alphabet? shows me startups in ai had use getting research leads.,"INVESTMENT_DETAILS_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,LEAD_GENERATION_QUERY",triple,True
i know the company name for microsoft. retrieve the investment details for nasa. retrieve public educational plan towards mohammad shah.,"COMPANY_PROFILE_QUERY,INVESTMENT_DETAILS_QUERY,EDUCATION_QUERY",triple,True
get smart on microsoft ' s contractual commitments.,FUNDING_ROUND_QUERY,single,True
What are the IPO dates for Google? Show me the co-investors for Microsoft's latest funding round. What are the current trends in the startup ecosystem?,"IPO_QUERY,INVESTMENT_PARTNER_QUERY,MARKET_ANALYSIS_QUERY",triple,False
and emerging small companies for lead generation. what are the latest small investments because... startup world?,"LEAD_GENERATION_QUERY,TECH_NEWS_QUERY",pair,True
retrieve the investment details to you. give us the news about sundar jang.,"INVESTMENT_DETAILS_QUERY,PEOPLE_PROFILE_QUERY",pair,True
double check the company profile for now. complete details regarding the internal organization of samsung. gather me all partner - investors for microsoft ' s latest funding round.,"COMPANY_PROFILE_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,INVESTMENT_PARTNER_QUERY",triple,True
retrieve details concerning an organizational hierarchy within samsung. what about the five major headlines in the startup world?,"ORGANIZATION_RELATIONSHIP_QUERY,TECH_NEWS_QUERY",pair,True
show apple apple ' s website profile. show tv profiles of top companies in our startup ecosystem. showing me the upcoming video update about startups.,"COMPANY_PROFILE_QUERY,INVESTOR_QUERY,TECH_NEWS_QUERY",triple,True
inform me apple ' s legal history. provide me the ipo details on research. retrieve any profile of hank bell.,"ACQUISITION_QUERY,IPO_QUERY,PEOPLE_PROFILE_QUERY",triple,True
but were these ipo requirements for google? retrieve all educational materials of sundar pichai.,"IPO_QUERY,EDUCATION_QUERY",pair,True
Show me the IPO details for Apple. Retrieve information on Andreessen Horowitz's funds. Show me the degrees held by Jeff Bezos.,"IPO_QUERY,FUNDS_QUERY,EDUCATION_QUERY",triple,False
find them the latest submitted requests for developers. list six promising partners for google in its recent round. retrieve information for my family ' s funds.,"FUNDING_ROUND_QUERY,INVESTMENT_PARTNER_QUERY,FUNDS_QUERY",triple,True
list the companies supported by google. what are the ipo terms with google? for rumors about venture funding firms investing against google.,"ACQUISITION_QUERY,IPO_QUERY,INVESTOR_QUERY",triple,True
Show me the latest funding round for Google. List the latest job openings for Google. Retrieve the profile of Jeff Bezos.,"FUNDING_ROUND_QUERY,JOBS_QUERY,PEOPLE_PROFILE_QUERY",triple,False
lend me the staff of microsoft. what are the latest political headlines in the startup scene? retrieve trends from their human capital community.,"COMPETITOR_LOOKUP,TECH_NEWS_QUERY,MARKET_TRENDS_QUERY",triple,True
show me college degrees held by jeff summers. his recent tech results on tech industry.,"EDUCATION_QUERY,TECH_NEWS_QUERY",pair,True
read the investment options for microsoft. check the firm qualifications with liu pichai. so are the current funding speculation headlines?,"INVESTMENT_DETAILS_QUERY,EDUCATION_QUERY,FUNDING_NEWS_QUERY",triple,True
everyone is the leading investors in tech startups? show me a simple example of digital it ecosystem.,"INVESTOR_QUERY,MARKET_ANALYSIS_QUERY",pair,True
show me the ipo number for 2012. to select the largest investors for tech startups? what describes the latest growing trends within tech startups?,"IPO_QUERY,INVESTOR_QUERY,MARKET_TRENDS_QUERY",triple,True
what product is apple made? look me up on sequoia capital ' s exits. and i current ceo openings at apple.,"ACQUISITION_QUERY,FUNDS_QUERY,JOBS_QUERY",triple,True
show about the startup networking days.,EVENT_QUERY,single,True
more details about venture backed firms investing in ai. what include other emerging trends in the startup stream?,"INVESTOR_QUERY,MARKET_ANALYSIS_QUERY",pair,True
identify google ' s main competitors. retrieve top tech news in technology startups.,"COMPETITOR_LOOKUP,TECH_NEWS_QUERY",pair,True
what acquisitions are apple made? what companies have taken public recently? provide quick update to our top 25 players in this cloud computing market.,"ACQUISITION_QUERY,IPO_QUERY,MARKET_ANALYSIS_QUERY",triple,True
who are two main competitors of apple? provide an analysis about the top 5 companies in our apple computing market. show mentioned also full techcrunch articles in google.,"COMPETITOR_LOOKUP,MARKET_ANALYSIS_QUERY,TECH_NEWS_QUERY",triple,True
Show me the IPO details for Apple. Who are the leading investors in tech startups? List the latest job openings for Google.,"IPO_QUERY,INVESTOR_QUERY,JOBS_QUERY",triple,False
list the best twitter openings for forbes. retrieve video profile of david bezos. retrieve recent reports concerning startup funding.,"JOBS_QUERY,PEOPLE_PROFILE_QUERY,FUNDING_NEWS_QUERY",triple,True
Show me the parent company of YouTube. Show me the latest funding news in the startup world. Show me upcoming industry events for startups.,"ORGANIZATION_RELATIONSHIP_QUERY,FUNDING_NEWS_QUERY,EVENT_QUERY",triple,False
show me the latest first round january 2018. list google ' s top companies. retrieve some financial information regarding emerging startups.,"FUNDING_ROUND_QUERY,COMPETITOR_LOOKUP,TECH_NEWS_QUERY",triple,True
write current profile of the bezos. feature top tech works on emerging startups. preserve recent editorial about startup funding.,"PEOPLE_PROFILE_QUERY,TECH_NEWS_QUERY,FUNDING_NEWS_QUERY",triple,True
Give me the profile of Sundar Pichai. Retrieve the educational qualifications of Sundar Pichai. Retrieve trends in the venture capital market.,"PEOPLE_PROFILE_QUERY,EDUCATION_QUERY,MARKET_TRENDS_QUERY",triple,False
list the preferred job prospects for founders. retrieve recent facts about startup stocks.,"JOBS_QUERY,FUNDING_NEWS_QUERY",pair,True
get me the official company history from https. review potential investment partners for facebook in its recent year. retrieve recent tech hits on emerging startups.,"COMPANY_PROFILE_QUERY,INVESTMENT_PARTNER_QUERY,TECH_NEWS_QUERY",triple,True
List the investment partners for Google in its recent round. Retrieve information on Andreessen Horowitz's funds.,"INVESTMENT_PARTNER_QUERY,FUNDS_QUERY",pair,False
Get me the detailed company profile for Google. Show me the latest funding round for Google. Show me Apple's acquisition history.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,ACQUISITION_QUERY",triple,False
give me recent investment history under apple. show me current key insights into the innovation ecosystem.,"INVESTMENT_DETAILS_QUERY,MARKET_TRENDS_QUERY",pair,True
retrieve recent investor prospects into microsoft. what are our current funding news on? retrieve trends around emerging financial capital market.,"JOBS_QUERY,FUNDING_NEWS_QUERY,MARKET_TRENDS_QUERY",triple,True
shows me the investment history for apple. show me your interview with elon musk. give me your latest breaking news concerning the tomorrow world.,"INVESTMENT_DETAILS_QUERY,PEOPLE_PROFILE_QUERY,FUNDING_NEWS_QUERY",triple,True
what was the special relationship to research? retrieve notes on my foundation ' s funds. find recent tech news about emerging startups.,"ORGANIZATION_RELATIONSHIP_QUERY,FUNDS_QUERY,TECH_NEWS_QUERY",triple,True
what about her subsidiary relationship of alphabet? list on 2014 job rankings by google. mention recent articles about startup funding.,"ORGANIZATION_RELATIONSHIP_QUERY,JOBS_QUERY,FUNDING_NEWS_QUERY",triple,True
who are the leading investors in ai startups? john andrew gold and dave bezos.,"INVESTOR_QUERY,PEOPLE_PROFILE_QUERY",pair,True
Which companies have gone public recently? Show me details on Sequoia Capital's funds. Identify companies in cybersecurity that recently secured funding.,"IPO_QUERY,FUNDS_QUERY,LEAD_GENERATION_QUERY",triple,False
get details on google ' s financial flow. see details about venture capital from tapping into applications. list emerging fintech initiatives for lead generation.,"FUNDING_ROUND_QUERY,INVESTOR_QUERY,LEAD_GENERATION_QUERY",triple,True
show your profiles or bottom 10 in each startup ecosystem. shows me the investment history for apple. show my celebrity industry leaders for startups.,"INVESTOR_QUERY,INVESTMENT_DETAILS_QUERY,EVENT_QUERY",triple,True
Get me the detailed company profile for Google. Show me the latest funding round for Google. Retrieve recent articles about startup funding.,"COMPANY_PROFILE_QUERY,FUNDING_ROUND_QUERY,FUNDING_NEWS_QUERY",triple,False
still need the company profile to microsoft. give david my fund list for softbank. who else expected current trends in that startup ecosystem?,"COMPANY_PROFILE_QUERY,FUNDS_QUERY,MARKET_ANALYSIS_QUERY",triple,True
Get me the detailed company profile for Google. Retrieve information on Andreessen Horowitz's funds. Show me startups in AI that are potential sales leads.,"COMPANY_PROFILE_QUERY,FUNDS_QUERY,LEAD_GENERATION_QUERY",triple,False
welcome to the web company of youtube. show me my mother of elon miller.,"ORGANIZATION_RELATIONSHIP_QUERY,PEOPLE_PROFILE_QUERY",pair,True
retrieve details in high fund company investing with ai. retrieve tips on the organizational hierarchy at samsung. give me much story of sundar pichai.,"INVESTOR_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,PEOPLE_PROFILE_QUERY",triple,True
show scientists a market atlas of the fintech sector. retrieve many entries about startup funding. why is the expected market conditions in tech finance?,"MARKET_ANALYSIS_QUERY,FUNDING_NEWS_QUERY,MARKET_TRENDS_QUERY",triple,True
retrieve any profile on jeff bezos. show me on continuing development that provide potential sales leads. get me a global chart of the fintech industries.,"PEOPLE_PROFILE_QUERY,LEAD_GENERATION_QUERY,MARKET_ANALYSIS_QUERY",triple,True
what is my subsidiary line of alphabet? to local startups in asia that attract potential business leads. provide me another market analysis of the fintech community.,"ORGANIZATION_RELATIONSHIP_QUERY,LEAD_GENERATION_QUERY,MARKET_ANALYSIS_QUERY",triple,True
Give me the fund details for SoftBank. Give me the profile of Sundar Pichai. What are the current funding news headlines?,"FUNDS_QUERY,PEOPLE_PROFILE_QUERY,FUNDING_NEWS_QUERY",triple,False
show me information from venture capital ' s funds. see me the latest market news about the startup world. tell me tech market trends among the startup community.,"FUNDS_QUERY,FUNDING_NEWS_QUERY,MARKET_TRENDS_QUERY",triple,True
include me that explanation of the saas market.,MARKET_ANALYSIS_QUERY,single,True
list those letters acquired by facebook. show off the letters to apple. what are the current trends in our startup ecosystem?,"ACQUISITION_QUERY,COMPETITOR_LOOKUP,MARKET_ANALYSIS_QUERY",triple,True
write me profiles of canadian investors in the energy movement. what in elon musk ' s educational background? book him current marketing trends on the startup industry.,"INVESTOR_QUERY,EDUCATION_QUERY,MARKET_TRENDS_QUERY",triple,True
what progress has kim made? show some details on double t ' s funds. how describes elon musk ' family investment background?,"ACQUISITION_QUERY,FUNDS_QUERY,EDUCATION_QUERY",triple,True
our two have gone public recently? how are the co - developers for apple ' s new investment round? searching for elon musk ' extensive educational background?,"IPO_QUERY,INVESTMENT_PARTNER_QUERY,EDUCATION_QUERY",triple,True
List the investment partners for Google in its recent round. Retrieve information on Andreessen Horowitz's funds. Retrieve recent tech news on emerging startups.,"INVESTMENT_PARTNER_QUERY,FUNDS_QUERY,TECH_NEWS_QUERY",triple,False
the big 5 cow - workers for microsoft ' s latest funding round. list 5 fintech companies for lead investor. where are the current trends among the share ecosystem?,"INVESTMENT_PARTNER_QUERY,LEAD_GENERATION_QUERY,MARKET_ANALYSIS_QUERY",triple,True
how are the release dates through google? consider all the co - investors behind microsoft ' its latest investing round. what of the current funding news yet?,"IPO_QUERY,INVESTMENT_PARTNER_QUERY,FUNDING_NEWS_QUERY",triple,True
retrieve the main details for you. show me the picture of microsoft. what new issues are happening all semester targeting startups?,"INVESTMENT_DETAILS_QUERY,COMPETITOR_LOOKUP,EVENT_QUERY",triple,True
draw me the daily announcements about apple. show me a brief analysis of the entertainment sector. list the next tech pioneers after everyone.,"IPO_QUERY,MARKET_ANALYSIS_QUERY,EVENT_QUERY",triple,True
american center for cybersecurity.,INVESTOR_QUERY,single,True
whom new rounds has company generated? show me your new company for youtube. teach me details on sequoia trust ' s funds.,"FUNDING_ROUND_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,FUNDS_QUERY",triple,True
Show me profiles of top investors in the startup ecosystem. Show me current job openings at Apple. Show me the profile of Elon Musk.,"INVESTOR_QUERY,JOBS_QUERY,PEOPLE_PROFILE_QUERY",triple,False
What acquisitions has Apple made? Show me the latest funding news in the startup world. Show me current market trends in the startup ecosystem.,"ACQUISITION_QUERY,FUNDING_NEWS_QUERY,MARKET_TRENDS_QUERY",triple,False
show me real news - investors cut slack.,INVESTMENT_PARTNER_QUERY,single,True
which companies are gone public recently? find me your mother company of youtube. and a current market trends with our startup ecosystem.,"IPO_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,MARKET_TRENDS_QUERY",triple,True
show me apple ' s company name. what acquisitions have apple made? show him for customer events next weeks.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,EVENT_QUERY",triple,True
tell me one detailed product structure for customers. compare young startups in ai that are potential product leads. retrieve recent tech news on emerging tech.,"COMPANY_PROFILE_QUERY,LEAD_GENERATION_QUERY,TECH_NEWS_QUERY",triple,True
not the charity records for microsoft. current are the current funding news about?,"INVESTMENT_DETAILS_QUERY,FUNDING_NEWS_QUERY",pair,True
I need the company profile for Microsoft. List the companies acquired by Google. What are the current funding news headlines?,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,FUNDING_NEWS_QUERY",triple,False
what else keeps it blocked? show me profiles of other contributors within the startup ecosystem. show me the parent company from youtube.,"ACQUISITION_QUERY,INVESTOR_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple,True
What funding rounds has Apple completed? Give me the investment history for Apple. Show me current job openings at Apple.,"FUNDING_ROUND_QUERY,INVESTMENT_DETAILS_QUERY,JOBS_QUERY",triple,False
list potential latest job openings around us. retrieve the tech news on global entrepreneurs.,"JOBS_QUERY,TECH_NEWS_QUERY",pair,True
prevent google ' s biggest competitors. retrieve key technical news on emerging startups. include recent information about growth funding.,"COMPETITOR_LOOKUP,TECH_NEWS_QUERY,FUNDING_NEWS_QUERY",triple,True
Retrieve recent job postings at Microsoft. What are the latest tech headlines in the startup world? What industry events are happening this month for startups?,"JOBS_QUERY,TECH_NEWS_QUERY,EVENT_QUERY",triple,False
Show me the co-investors for Microsoft's latest funding round. Give me the fund details for SoftBank. Retrieve recent job postings at Microsoft.,"INVESTMENT_PARTNER_QUERY,FUNDS_QUERY,JOBS_QUERY",triple,False
Show me Apple's acquisition history. List the latest job openings for Google. What are the latest market trends in tech startups?,"ACQUISITION_QUERY,JOBS_QUERY,MARKET_TRENDS_QUERY",triple,False
what interest has be announced? show me more of top investors behind the startup bubble. provide an overview from various top 5 players in global cloud computing market.,"ACQUISITION_QUERY,INVESTOR_QUERY,MARKET_ANALYSIS_QUERY",triple,True
get me the correct company profiles for google. explore the winning partners for facebook in a recent round. show fans the fuller perspective of the fintech sector.,"COMPANY_PROFILE_QUERY,INVESTMENT_PARTNER_QUERY,MARKET_ANALYSIS_QUERY",triple,True
list the investment professionals behind google in its technological endeavors. retrieve various global news on future technologies. list the next launch conferences for startups.,"INVESTMENT_PARTNER_QUERY,TECH_NEWS_QUERY,EVENT_QUERY",triple,True
retrieve recent top postings by microsoft. what be the current trends throughout our microsoft ecosystem?,"JOBS_QUERY,MARKET_ANALYSIS_QUERY",pair,True
Show me the competitors of Microsoft. What are the current trends in the startup ecosystem?,"COMPETITOR_LOOKUP,MARKET_ANALYSIS_QUERY",pair,False
where are all recent headlines on various funding rounds?,FUNDING_NEWS_QUERY,single,True
what explains an evolutionary relationship of alphabet? compare google ' s next competitors. list the next social conferences and creativity.,"ORGANIZATION_RELATIONSHIP_QUERY,COMPETITOR_LOOKUP,EVENT_QUERY",triple,True
Show me Apple's company profile. Show me the latest funding news in the startup world.,"COMPANY_PROFILE_QUERY,FUNDING_NEWS_QUERY",pair,False
I need the company profile for Microsoft. List the companies acquired by Google. Retrieve the investment details for Microsoft.,"COMPANY_PROFILE_QUERY,ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY",triple,False
show us all latest recent news on these tech companies.,TECH_NEWS_QUERY,single,True
which became our leading investors in tech startups? list google ' d key competitors. retrieve recent articles regarding notable houses.,"INVESTOR_QUERY,COMPETITOR_LOOKUP,FUNDING_NEWS_QUERY",triple,True
show me their latest funding round for equity. have available investment offers for google in its lending round. show numerous startups in google ai provide potential sales leads.,"FUNDING_ROUND_QUERY,INVESTMENT_PARTNER_QUERY,LEAD_GENERATION_QUERY",triple,True
show me the competitors to microsoft. what are these latest product news tracks? what industry events are tracked this way for 2017?,"COMPETITOR_LOOKUP,FUNDING_NEWS_QUERY,EVENT_QUERY",triple,True
show me his latest funding campaigns through innovation. retrieve recent articles about google investor. list the main global conferences for startups.,"FUNDING_ROUND_QUERY,FUNDING_NEWS_QUERY,EVENT_QUERY",triple,True
what current new ipo dates for google? retrieve details and social capitalist partners investing in technology. new industry trends are happening this month for startups?,"IPO_QUERY,INVESTOR_QUERY,EVENT_QUERY",triple,True
show me o ' 001 advertising image. who handles the main competitors of apple?,"COMPANY_PROFILE_QUERY,COMPETITOR_LOOKUP",pair,True
Retrieve details on the organizational hierarchy of Samsung. Give me the profile of Sundar Pichai. List emerging fintech companies for lead generation.,"ORGANIZATION_RELATIONSHIP_QUERY,PEOPLE_PROFILE_QUERY,LEAD_GENERATION_QUERY",triple,False
retrieve itself from this organizational hierarchy with samsung. show me the ad - investors for microsoft ' r new microsoft angel. give me the fund details for yourself.,"ORGANIZATION_RELATIONSHIP_QUERY,INVESTMENT_PARTNER_QUERY,FUNDS_QUERY",triple,True
show me the wheels of tomorrow. but are these current developments in the startup universe? retrieve trends in the venture growth markets.,"COMPETITOR_LOOKUP,MARKET_ANALYSIS_QUERY,MARKET_TRENDS_QUERY",triple,True
who created the leading investors in tech fusion? more off the past investments made from banks. more information in clarence house ' s funds.,"INVESTOR_QUERY,INVESTMENT_DETAILS_QUERY,FUNDS_QUERY",triple,True
retrieve investment in andreessen funds ' private funds. show me a market feature of currently listed companies. how are this latest market trends in tech startups?,"FUNDS_QUERY,MARKET_ANALYSIS_QUERY,MARKET_TRENDS_QUERY",triple,True
show me the competitors and microsoft. what are your core trends on the startup ecosystem? how are the overall funding profile updates?,"COMPETITOR_LOOKUP,MARKET_ANALYSIS_QUERY,FUNDING_NEWS_QUERY",triple,True
discussing facts on the organizational history of samsung. discuss legal educational qualifications with zhang pichai. what do the current funding index headlines?,"ORGANIZATION_RELATIONSHIP_QUERY,EDUCATION_QUERY,FUNDING_NEWS_QUERY",triple,True
hold the account of anthony bezos. list google ' d prime competitors. organise the world tech summit for startups.,"PEOPLE_PROFILE_QUERY,COMPETITOR_LOOKUP,EVENT_QUERY",triple,True
What are the IPO dates for Google? What are the current trends in the startup ecosystem? What are the current funding news headlines?,"IPO_QUERY,MARKET_ANALYSIS_QUERY,FUNDING_NEWS_QUERY",triple,False
new acquisitions has canada made? show me upcoming industry developments regarding startups. show me latest market positions of this startup ecosystem.,"ACQUISITION_QUERY,EVENT_QUERY,MARKET_TRENDS_QUERY",triple,True
show me current topics from startup funding events.,FUNDING_NEWS_QUERY,single,True
present me videos of top investors in corporate startup industry. show me tips on sequoia funds ' market funds. show all current job appointments with apple.,"INVESTOR_QUERY,FUNDS_QUERY,JOBS_QUERY",triple,True
List the investment partners for Google in its recent round. Show me a market analysis of the fintech sector. List the next tech conferences for startups.,"INVESTMENT_PARTNER_QUERY,MARKET_ANALYSIS_QUERY,EVENT_QUERY",triple,False
show down much on redpoint securities ' funds.,FUNDS_QUERY,single,True
provide an analysis of global market trends across healthcare tech field.,MARKET_TRENDS_QUERY,single,True
what acquisitions have apple picked? meet me here the top actors in the startup ecosystem. who are my main competitors from apple?,"ACQUISITION_QUERY,INVESTOR_QUERY,COMPETITOR_LOOKUP",triple,True
first the accounts acquired by google. then the contact writings of anand patel. what were the latest tech headlines in the corporate world?,"ACQUISITION_QUERY,EDUCATION_QUERY,TECH_NEWS_QUERY",triple,True
show me more film timeline to netflix.,INVESTMENT_DETAILS_QUERY,single,True
what is the official status with alphabet? list the latest internet openings on google. send me the version translated by jeff bezos.,"ORGANIZATION_RELATIONSHIP_QUERY,JOBS_QUERY,EDUCATION_QUERY",triple,True
show me the degrees held by potential bezos. tell me his quick analysis regarding their fintech sector. tell the economic news on emerging startups.,"EDUCATION_QUERY,MARKET_ANALYSIS_QUERY,TECH_NEWS_QUERY",triple,True
which companies get gone public recently? who has the responsible people of apple? update me on market trends within the startup business.,"IPO_QUERY,COMPETITOR_LOOKUP,MARKET_TRENDS_QUERY",triple,True
Get details on Microsoft's funding rounds. What are the IPO dates for Google? What industry events are happening this month for startups?,"FUNDING_ROUND_QUERY,IPO_QUERY,EVENT_QUERY",triple,False
offer me the technical details for softbank. compare me to competitors of microsoft. review emerging new companies for senior banker.,"FUNDS_QUERY,COMPETITOR_LOOKUP,LEAD_GENERATION_QUERY",triple,True
show my profiles of outstanding individuals in the business ecosystem. showed me the investment history for corporations. show away upcoming industry leaders for businesses.,"INVESTOR_QUERY,INVESTMENT_DETAILS_QUERY,EVENT_QUERY",triple,True
I need the company profile for Microsoft. What are the current trends in the startup ecosystem?,"COMPANY_PROFILE_QUERY,MARKET_ANALYSIS_QUERY",pair,False
lecture me more on the organizational planning for dell.,ORGANIZATION_RELATIONSHIP_QUERY,single,True
i knew the trend profile by reference. what the... current trends with the startup ecosystem? what industry events are going this month for real?,"COMPANY_PROFILE_QUERY,MARKET_ANALYSIS_QUERY,EVENT_QUERY",triple,True
have companies have gone public recently? and are other key - participants in apple ' s latest seed round? provide an overview by any top 5 vendors in the cloud computing market.,"IPO_QUERY,INVESTMENT_PARTNER_QUERY,MARKET_ANALYSIS_QUERY",triple,True
give you the investment history for apple. show people some stock company in youtube. who are some key executives of apple?,"INVESTMENT_DETAILS_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,COMPETITOR_LOOKUP",triple,True
it leads the main companies in your startups? show me the new mistakes made by google. what is that subsidiary board of alphabet?,"INVESTOR_QUERY,INVESTMENT_DETAILS_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple,True
provide details inside microsoft ' s funding plans. list the materials acquired thru google. retrieve stories over the organizational hierarchy within samsung.,"FUNDING_ROUND_QUERY,ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple,True
get details for corporate ' s strategic rounds. retrieve the current plans for microsoft.,"FUNDING_ROUND_QUERY,INVESTMENT_DETAILS_QUERY",pair,True
Which companies have gone public recently? Give me the investment history for Apple.,"IPO_QUERY,INVESTMENT_DETAILS_QUERY",pair,False
show him portraits of top investors in the small business. show me current job management at apple. which was larry green ' s educational background?,"INVESTOR_QUERY,JOBS_QUERY,EDUCATION_QUERY",triple,True
send customers the latest funding round of google. show them apple ' s stock history. find the latest available applications for google.,"FUNDING_ROUND_QUERY,ACQUISITION_QUERY,JOBS_QUERY",triple,True
who are the best buyers for tech startups? reflect the investors listed by google in its recent releases. retrieve the blog of jeff bezos.,"INVESTOR_QUERY,INVESTMENT_PARTNER_QUERY,PEOPLE_PROFILE_QUERY",triple,True
show me profiles among top investors on the computing ecosystem. get background analysis of the best 5 players at a cloud computing market. show all upcoming monthly events for startups.,"INVESTOR_QUERY,MARKET_ANALYSIS_QUERY,EVENT_QUERY",triple,True
tell me about ' a acquisition history. who leads the large investors within these startups? see the latest job openings for google.,"ACQUISITION_QUERY,INVESTOR_QUERY,JOBS_QUERY",triple,True
Show me the co-investors for Microsoft's latest funding round. Retrieve recent job postings at Microsoft. Retrieve trends in the venture capital market.,"INVESTMENT_PARTNER_QUERY,JOBS_QUERY,MARKET_TRENDS_QUERY",triple,False
Show me the latest funding round for Google. List the investment partners for Google in its recent round. List Google's top competitors.,"FUNDING_ROUND_QUERY,INVESTMENT_PARTNER_QUERY,COMPETITOR_LOOKUP",triple,False
